loss,res_loss,d0_loss,d1_loss,neu_loss
13847.21875,31405.0,32.2674560546875,32.66120910644531,0.5582038164138794
13605.939453125,30078.37109375,32.70977783203125,32.267967224121094,0.9669924378395081
13826.6005859375,30839.080078125,31.919763565063477,32.87997055053711,0.6926156878471375
13757.5,30388.390625,31.632612228393555,32.92716979980469,0.8308108448982239
12842.4091796875,26313.109375,33.33191680908203,31.368423461914062,0.46028220653533936
14625.7119140625,33353.078125,33.02125549316406,31.821134567260742,0.33208051323890686
14206.5546875,31392.591796875,32.772254943847656,32.02506637573242,0.4245533347129822
13996.2353515625,30309.310546875,33.27988815307617,31.44252586364746,0.7284700274467468
13631.43359375,28604.337890625,32.96977996826172,31.769670486450195,0.6404497027397156
13886.6591796875,29381.28125,32.09687805175781,32.554771423339844,1.7411158084869385
13395.2958984375,27268.185546875,33.40214538574219,31.114479064941406,1.7514680624008179
13918.1962890625,29040.62109375,36.04784393310547,28.645076751708984,1.4504748582839966
13155.392578125,25920.947265625,34.32801055908203,30.074159622192383,2.75720477104187
13688.0810546875,27902.169921875,30.963241577148438,33.301490783691406,0.7044223546981812
13333.2890625,26244.341796875,30.601314544677734,33.73201370239258,2.393885612487793
13713.7119140625,27557.533203125,32.69512176513672,31.654775619506836,0.3533675968647003
13372.876953125,26151.384765625,32.33514404296875,31.76689910888672,0.6404561996459961
13624.052734375,26950.90625,31.493635177612305,32.473419189453125,0.4503665566444397
13767.650390625,27284.580078125,31.544485092163086,32.41633224487305,0.47325077652931213
13022.8681640625,24313.701171875,32.67407989501953,31.3845157623291,0.3682098090648651
13526.5673828125,26109.9140625,32.36454772949219,31.306142807006836,0.5382280349731445
13462.498046875,25654.6953125,33.57425308227539,30.139564514160156,1.0419832468032837
13238.3857421875,24649.919921875,32.5308723449707,31.288700103759766,0.37507739663124084
13447.529296875,25208.974609375,30.800336837768555,33.02604293823242,0.6379386186599731
13072.9541015625,23789.564453125,30.728851318359375,32.84761047363281,0.6651611924171448
13579.345703125,25453.333984375,33.96768569946289,29.465171813964844,0.7312284111976624
13380.2451171875,24664.6015625,34.371002197265625,28.80060577392578,0.9008896946907043
13227.5439453125,24025.81640625,31.848880767822266,31.171730041503906,0.6047648787498474
13154.1767578125,23550.541015625,31.590129852294922,31.61647605895996,0.3860718905925751
13494.3388671875,24639.359375,31.179645538330078,31.751129150390625,0.6568537354469299
13151.3125,23358.22265625,30.78594207763672,32.00102615356445,0.5298640131950378
12901.494140625,22415.83984375,31.412189483642578,31.208803176879883,0.430538535118103
13434.3583984375,24035.86328125,32.66115951538086,30.014568328857422,0.4098907709121704
12928.4384765625,22253.265625,31.687952041625977,30.7911376953125,0.45501890778541565
13227.1201171875,23179.662109375,30.407678604125977,31.811824798583984,0.49108123779296875
12997.1259765625,22335.994140625,30.4810791015625,31.5399227142334,0.48837772011756897
13327.228515625,23259.9765625,32.05415344238281,29.995872497558594,0.4673822522163391
13172.2216796875,22636.34375,32.27073287963867,29.685720443725586,0.45828279852867126
12942.6591796875,21872.333984375,31.277565002441406,30.288726806640625,0.5606837868690491
13401.6044921875,23254.048828125,30.343088150024414,31.064977645874023,0.553447961807251
12853.10546875,21398.7578125,30.10234260559082,31.176801681518555,0.5980661511421204
13198.5517578125,22320.2109375,30.818401336669922,30.600257873535156,0.34990331530570984
13211.328125,22296.25390625,31.839885711669922,29.32859230041504,0.4271404445171356
13986.0166015625,24738.140625,31.633541107177734,29.001705169677734,0.6287915110588074
13581.9052734375,23383.134765625,31.405494689941406,29.018959045410156,1.0090999603271484
13973.3876953125,24355.19140625,30.194400787353516,30.544416427612305,0.8425211906433105
14483.150390625,25746.5234375,29.103271484375,31.755855560302734,0.3871455788612366
12868.560546875,20688.34375,30.089584350585938,30.686511993408203,0.5173698663711548
14623.7861328125,25896.50390625,32.647926330566406,28.076719284057617,0.5474592447280884
13961.19921875,23810.013671875,33.84977722167969,26.649444580078125,0.6352231502532959
14237.4716796875,24651.7890625,32.037559509277344,27.82497787475586,1.7520314455032349
14627.552734375,25711.439453125,30.085819244384766,29.6492977142334,1.4997307062149048
13767.2978515625,22889.1015625,29.331485748291016,30.9283447265625,0.4798969626426697
13394.6748046875,21540.12109375,29.92417335510254,30.734947204589844,0.5122543573379517
13710.8642578125,22402.78125,30.482437133789062,29.881336212158203,1.273495078086853
12794.3671875,19757.615234375,31.793853759765625,28.130014419555664,0.5360925793647766
13214.1611328125,20880.640625,32.498374938964844,27.200429916381836,1.9578684568405151
12681.4462890625,19317.48828125,30.98578643798828,28.44883155822754,1.5499464273452759
12590.77734375,19007.0546875,28.172584533691406,31.163175582885742,0.4732016623020172
12475.015625,18563.5234375,27.578676223754883,31.763582229614258,0.6429291367530823
12577.0439453125,18823.34765625,29.27936553955078,29.817758560180664,0.3866277039051056
12265.6474609375,17974.236328125,29.81195831298828,28.808998107910156,0.4723814129829407
12827.8671875,19556.36328125,30.193925857543945,27.994646072387695,0.7832110524177551
12665.21484375,19063.947265625,29.70180892944336,28.169904708862305,1.5021334886550903
12918.30078125,19716.685546875,29.060909271240234,28.59027862548828,1.574262261390686
13262.298828125,20617.3984375,29.2868709564209,28.205236434936523,0.8355588316917419
11991.255859375,17051.97265625,28.895809173583984,28.514812469482422,0.91721111536026
14230.5498046875,23133.171875,27.922407150268555,29.187984466552734,0.6503646373748779
12628.8125,18725.8984375,29.16938018798828,27.699928283691406,1.32987380027771
15198.490234375,25559.603515625,30.85158920288086,25.896032333374023,1.5555813312530518
15679.087890625,26730.060546875,30.595130920410156,26.13230323791504,0.9302211999893188
15664.4189453125,26499.6796875,29.427453994750977,27.525306701660156,0.5264779925346375
14916.1435546875,24307.119140625,29.802766799926758,27.437740325927734,0.4002223610877991
12814.8046875,18575.12890625,31.219572067260742,26.2943115234375,0.4866740107536316
13121.2119140625,19324.30859375,31.0961856842041,26.21775245666504,0.7932174205780029
12144.5810546875,16810.283203125,29.399381637573242,27.41115951538086,0.8378353714942932
12538.0966796875,17871.30859375,27.547298431396484,28.76243019104004,0.8797829151153564
11885.568359375,16182.5927734375,27.991403579711914,27.981874465942383,0.9394161105155945
11735.7880859375,15717.001953125,29.473052978515625,26.511728286743164,0.7680078148841858
11848.5791015625,15897.1875,28.239845275878906,27.845237731933594,0.837436854839325
12055.5849609375,16460.62109375,26.949769973754883,28.698057174682617,0.5317781567573547
11268.7529296875,14525.6767578125,26.163219451904297,28.935993194580078,0.6662620306015015
11574.8427734375,15376.0302734375,27.12168312072754,27.344911575317383,0.8522181510925293
11371.306640625,14937.0546875,27.126007080078125,26.776473999023438,0.6236647963523865
12580.84765625,17856.623046875,26.338584899902344,27.568031311035156,1.1823099851608276
11539.0849609375,15255.2900390625,27.210458755493164,26.421363830566406,1.2765860557556152
14174.42578125,21801.26171875,29.29484748840332,23.860872268676758,0.7543414831161499
14068.8837890625,21455.89453125,29.8023738861084,23.265302658081055,0.8111421465873718
12665.1005859375,17847.23046875,28.552648544311523,24.680814743041992,2.4389901161193848
12597.2939453125,17611.001953125,27.782344818115234,25.406192779541016,2.270761728286743
12675.388671875,17836.919921875,28.0272274017334,24.812667846679688,0.6913829445838928
12319.65625,16872.61328125,27.874637603759766,25.0095272064209,1.2232040166854858
12835.5283203125,17923.4140625,27.476985931396484,25.861921310424805,0.9650149345397949
13081.0234375,18441.630859375,27.655241012573242,25.538801193237305,1.6134967803955078
11804.60546875,15517.7763671875,27.900375366210938,24.605403900146484,0.5525322556495667
10752.1572265625,12964.2421875,27.948959350585938,24.471248626708984,1.3297770023345947
12446.3291015625,16818.072265625,27.038175582885742,25.614877700805664,1.6525391340255737
11041.59765625,13471.2900390625,25.8635196685791,26.814586639404297,0.8074362277984619
11207.7890625,13886.646484375,26.244361877441406,26.045808792114258,0.7513572573661804
11785.234375,15125.7470703125,27.640602111816406,24.49103355407715,3.7747802734375
11637.2490234375,14712.005859375,27.318302154541016,24.722509384155273,4.815771102905273
11248.8310546875,13853.1787109375,25.446685791015625,26.577350616455078,0.6441805958747864
11520.76171875,14419.05078125,24.901567459106445,26.986215591430664,1.6439802646636963
10448.3095703125,11992.591796875,25.95632553100586,25.643301010131836,1.160627007484436
12044.8896484375,15543.0576171875,26.29396629333496,25.243953704833984,2.1066465377807617
11070.0361328125,13329.125,26.39572525024414,25.033771514892578,0.8955538868904114
